Name,Lat,Lon,Url
DZA_AR_Timimoun.AP.606070_TMYx.zip,29.237,0.276,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AR_Adrar/DZA_AR_Timimoun.AP.606070_TMYx.zip
CAN_AB_Holden.AgDM.712270_CWEC2016.zip,53.185,112.246,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Holden.AgDM.712270_CWEC2016.zip
DZA_AT_Beni.Saf.605180_TMYx.2003-2017.zip,35.3,1.35,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AT_Ain_Temouchent/DZA_AT_Beni.Saf.605180_TMYx.2003-2017.zip
CAN_AB_Schuler.AgDM_712690_CWEC2016.zip,50.307,110.091,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Schuler.AgDM_712690_CWEC2016.zip
DZA_AT_Beni.Saf.605180_TMYx.zip,35.3,1.35,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/AT_Ain_Temouchent/DZA_AT_Beni.Saf.605180_TMYx.zip
CAN_AB_Brooks.714570_CWEC2016.zip,50.555,111.849,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Brooks.714570_CWEC2016.zip
DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.2003-2017.zip,36.067,4.667,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BB_Bordj_Bou_Arreridj/DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.2003-2017.zip
CAN_AB_Hussar.AgDM.713440_CWEC2016.zip,51.183,112.5,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Hussar.AgDM.713440_CWEC2016.zip
DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.zip,36.067,4.667,http://climate.onebuilding.org/WMO_Region_1_Africa/DZA_Algeria/BB_Bordj_Bou_Arreridj/DZA_BB_Bordj.Bou.Arreridj.604440_TMYx.zip
CAN_AB_Seven.Persons.AgDM.715250_CWEC2016.zip,49.917,110.917,http://climate.onebuilding.org/WMO_Region_4_North_and_Central_America/CAN_Canada/AB_Alberta/CAN_AB_Seven.Persons.AgDM.715250_CWEC2016.zip
